subscription_name,billing_cycle,amount_paid,usage_ratio,awareness_score,necessity_score,has_perks,waste_score,usage_frequency_answer,awareness_answer,necessity_answer
Netflix,yearly,1375.32,0.45,8,4,0,48.1,few_times_month,sometimes_notice,fun
Gym Membership,yearly,3856.35,0.317,10,10,0,51.0,few_times_week,forget,essential
Gaming Pass,yearly,2986.06,0.178,4,1,1,66.5,rarely,forget,essential
Zomato Gold,monthly,4546.23,0.11,1,9,1,66.2,once_twice_week,sometimes_notice,fun
Zomato Gold,yearly,3925.34,0.466,6,2,0,56.7,rarely,forget,fun
Software License,yearly,1023.69,0.79,8,7,1,15.3,few_times_month,sometimes_notice,fun
Cloud Storage,monthly,3061.78,0.361,6,5,1,49.7,few_times_week,always_notice,essential
Gym Membership,monthly,182.66,0.456,3,9,1,38.1,cant_remember,sometimes_notice,nice_to_have
Gaming Pass,yearly,4561.91,0.997,8,9,0,15.0,rarely,forget,nice_to_have
YouTube Premium,yearly,3685.72,0.004,6,1,0,85.3,daily,sometimes_notice,nice_to_have
Cloud Storage,monthly,2697.71,0.443,1,9,1,50.0,few_times_month,forget,nice_to_have
Newspaper,yearly,2291.3,0.757,2,5,0,39.8,daily,sometimes_notice,nice_to_have
LinkedIn Premium,yearly,4017.78,0.705,7,8,0,35.3,cant_remember,sometimes_notice,fun
Zomato Gold,monthly,1223.39,0.926,10,6,0,11.2,few_times_month,sometimes_notice,nice_to_have
Disney+,monthly,4055.19,0.114,5,6,1,61.1,cant_remember,forget,nice_to_have
Zomato Gold,monthly,3701.11,0.177,7,8,1,52.5,once_twice_week,always_notice,nice_to_have
Educational Hub,yearly,4028.42,0.68,3,5,0,38.9,few_times_month,always_notice,nice_to_have
Netflix,monthly,425.64,0.031,3,4,0,77.9,rarely,sometimes_notice,fun
Netflix,monthly,2376.46,0.471,4,10,0,55.1,few_times_week,forget,essential
Adobe CC,yearly,3940.23,0.918,8,6,0,21.6,cant_remember,forget,nice_to_have
Zomato Gold,yearly,2839.23,0.024,1,4,0,93.7,daily,forget,nice_to_have
Educational Hub,monthly,3684.98,0.672,2,6,1,43.5,few_times_month,sometimes_notice,fun
Adobe CC,monthly,123.0,0.914,10,10,1,0.9,cant_remember,always_notice,fun
Dating App,yearly,4674.27,0.544,10,6,0,39.2,few_times_month,always_notice,fun
Cloud Storage,yearly,4234.12,0.084,4,4,0,83.0,daily,always_notice,essential
YouTube Premium,yearly,370.61,0.075,10,6,0,61.0,rarely,sometimes_notice,nice_to_have
Wine Club,monthly,3084.62,0.078,8,10,0,69.3,cant_remember,sometimes_notice,nice_to_have
YouTube Premium,yearly,3016.71,0.194,9,3,0,64.3,daily,forget,essential
Wine Club,yearly,1923.6,0.178,10,6,0,59.5,cant_remember,always_notice,essential
Cloud Storage,yearly,727.33,0.689,8,6,0,30.6,daily,sometimes_notice,fun
Amazon Prime,yearly,4833.98,0.428,3,5,0,64.9,daily,sometimes_notice,fun
Disney+,yearly,4682.86,0.341,10,3,0,57.3,cant_remember,forget,nice_to_have
Gaming Pass,yearly,4096.28,0.744,1,7,0,38.7,few_times_week,always_notice,fun
Netflix,yearly,1004.31,0.983,4,3,0,21.3,once_twice_week,sometimes_notice,nice_to_have
Spotify,yearly,3908.52,0.396,10,5,1,42.4,few_times_month,forget,essential
Adobe CC,yearly,400.94,0.251,8,10,0,51.0,once_twice_week,always_notice,fun
Disney+,monthly,485.33,0.695,7,6,0,31.4,few_times_month,forget,fun
Wine Club,monthly,3501.54,0.548,9,5,1,37.4,daily,forget,essential
Wine Club,yearly,4991.94,0.147,9,9,1,49.8,daily,forget,fun
Wine Club,monthly,239.59,0.599,1,8,0,44.7,once_twice_week,sometimes_notice,fun
Netflix,yearly,1808.01,0.993,9,9,0,13.6,rarely,sometimes_notice,fun
Amazon Prime,monthly,1738.24,0.029,2,4,0,85.0,rarely,always_notice,nice_to_have
Spotify,yearly,4926.75,0.027,7,9,0,74.4,cant_remember,always_notice,fun
Gym Membership,monthly,2100.55,0.365,3,10,0,59.8,once_twice_week,forget,nice_to_have
Newspaper,yearly,4880.64,0.001,1,4,0,96.5,cant_remember,forget,nice_to_have
Adobe CC,yearly,956.59,0.904,4,5,0,25.9,few_times_month,always_notice,fun
Zomato Gold,monthly,1425.16,0.009,2,8,0,81.0,cant_remember,always_notice,nice_to_have
LinkedIn Premium,yearly,670.92,0.865,7,8,0,16.8,daily,always_notice,fun
Gaming Pass,yearly,1135.95,0.405,9,6,0,44.6,daily,always_notice,fun
Software License,monthly,2845.64,0.423,10,6,0,49.6,daily,always_notice,fun
Disney+,yearly,2136.66,0.973,9,9,0,8.2,few_times_week,sometimes_notice,essential
Gym Membership,monthly,3310.23,0.465,3,9,0,56.9,daily,always_notice,essential
Cloud Storage,yearly,3476.14,0.409,7,5,0,55.2,cant_remember,sometimes_notice,nice_to_have
Zomato Gold,monthly,1225.69,0.365,10,8,1,36.9,daily,forget,fun
Netflix,monthly,4331.56,0.712,6,1,0,41.2,cant_remember,always_notice,essential
YouTube Premium,monthly,1331.39,0.105,10,8,0,58.9,few_times_week,sometimes_notice,fun
Amazon Prime,monthly,4609.02,0.973,2,3,1,28.7,few_times_week,forget,essential
Wine Club,yearly,2879.4,0.778,1,9,1,35.8,few_times_week,sometimes_notice,nice_to_have
Adobe CC,yearly,3610.64,0.161,2,8,0,77.7,rarely,always_notice,fun
Educational Hub,yearly,3875.9,0.285,8,2,1,53.2,few_times_week,forget,fun
Gym Membership,monthly,528.71,0.361,5,2,0,59.4,daily,sometimes_notice,nice_to_have
Cloud Storage,monthly,3809.31,0.912,9,1,0,26.4,daily,always_notice,essential
Zomato Gold,yearly,1761.92,0.07,8,8,0,70.8,rarely,sometimes_notice,nice_to_have
Wine Club,yearly,3338.53,0.119,3,10,1,61.1,few_times_month,sometimes_notice,nice_to_have
Gym Membership,monthly,4531.51,0.709,8,3,0,40.1,cant_remember,always_notice,nice_to_have
Newspaper,yearly,327.48,0.152,7,4,0,62.9,few_times_month,forget,essential
Disney+,yearly,4920.19,0.717,2,2,0,42.3,few_times_week,sometimes_notice,fun
Disney+,yearly,1470.97,0.909,6,5,0,24.1,daily,always_notice,fun
Gaming Pass,monthly,4156.25,0.425,2,6,0,64.1,few_times_week,forget,essential
Spotify,yearly,1685.26,0.858,8,2,0,26.8,few_times_week,forget,essential
Adobe CC,monthly,2534.96,0.443,1,3,0,66.5,rarely,forget,fun
Gym Membership,yearly,3877.42,0.2,1,1,0,83.7,few_times_month,forget,essential
Adobe CC,yearly,1664.39,0.741,5,7,0,34.3,once_twice_week,always_notice,essential
Gaming Pass,yearly,1752.49,0.996,6,8,1,13.1,cant_remember,always_notice,essential
Netflix,monthly,3457.32,0.268,2,7,0,70.7,cant_remember,sometimes_notice,essential
Software License,yearly,3323.58,0.714,10,8,0,32.2,few_times_week,always_notice,nice_to_have
YouTube Premium,monthly,2094.3,0.014,6,2,1,66.9,daily,always_notice,fun
Gaming Pass,yearly,129.03,0.107,4,10,0,65.5,once_twice_week,sometimes_notice,nice_to_have
Wine Club,yearly,3389.68,0.764,9,5,0,29.1,daily,always_notice,essential
Gym Membership,monthly,777.01,0.548,5,2,0,48.2,few_times_month,always_notice,essential
Gym Membership,monthly,4571.27,0.987,9,7,1,11.5,daily,always_notice,fun
YouTube Premium,yearly,1534.87,0.226,2,1,1,62.6,once_twice_week,forget,fun
Newspaper,yearly,1094.95,0.853,6,10,1,17.3,few_times_week,forget,fun
Cloud Storage,monthly,1059.43,0.002,5,9,1,60.2,rarely,sometimes_notice,fun
Zomato Gold,yearly,1320.17,0.663,4,7,0,39.2,daily,forget,nice_to_have
Dating App,yearly,2638.07,0.431,3,4,1,51.0,few_times_week,forget,nice_to_have
Gym Membership,monthly,3207.73,0.115,9,8,0,67.2,rarely,sometimes_notice,fun
LinkedIn Premium,yearly,4905.52,0.402,4,6,0,63.2,few_times_month,sometimes_notice,fun
Software License,yearly,2960.98,0.014,9,4,1,60.5,few_times_week,forget,nice_to_have
Cloud Storage,yearly,4472.9,0.856,5,5,1,24.4,rarely,forget,nice_to_have
Dating App,yearly,781.03,0.02,2,4,1,63.1,rarely,sometimes_notice,nice_to_have
Software License,monthly,4976.58,0.717,6,1,0,39.8,rarely,always_notice,fun
Wine Club,monthly,2755.64,0.058,10,4,0,72.7,rarely,sometimes_notice,fun
Spotify,monthly,2662.79,0.688,8,2,1,33.8,once_twice_week,sometimes_notice,nice_to_have
Gaming Pass,yearly,2562.96,0.736,6,1,1,36.8,once_twice_week,forget,nice_to_have
Adobe CC,monthly,125.25,0.132,3,7,0,71.1,once_twice_week,always_notice,essential
Gym Membership,yearly,1855.05,0.124,2,2,0,84.0,rarely,always_notice,nice_to_have
Cloud Storage,monthly,4439.9,0.811,6,3,1,28.2,few_times_month,sometimes_notice,fun
Cloud Storage,yearly,1835.15,0.282,4,4,0,67.8,once_twice_week,always_notice,essential
Disney+,yearly,718.48,0.87,1,1,1,30.5,few_times_week,always_notice,fun
LinkedIn Premium,monthly,4693.43,0.194,4,4,0,78.2,cant_remember,forget,nice_to_have
Adobe CC,yearly,4169.47,0.83,6,10,0,30.1,cant_remember,always_notice,fun
Adobe CC,monthly,1445.42,0.936,5,7,0,22.4,few_times_month,always_notice,nice_to_have
LinkedIn Premium,yearly,403.62,0.688,4,7,1,27.7,few_times_week,always_notice,essential
Dating App,monthly,686.16,0.749,3,4,0,38.9,rarely,forget,essential
Amazon Prime,monthly,535.84,0.026,6,7,0,72.4,few_times_week,forget,nice_to_have
Software License,yearly,298.43,0.134,3,7,0,71.5,few_times_week,sometimes_notice,nice_to_have
LinkedIn Premium,monthly,2206.4,0.778,8,8,1,21.2,few_times_month,sometimes_notice,nice_to_have
Cloud Storage,monthly,3178.31,0.62,5,7,0,41.9,cant_remember,sometimes_notice,nice_to_have
YouTube Premium,monthly,2167.12,0.758,1,5,0,41.5,daily,always_notice,nice_to_have
Adobe CC,yearly,2022.31,0.904,8,4,0,20.9,daily,always_notice,fun
Netflix,monthly,2652.32,0.757,2,8,0,39.4,rarely,forget,nice_to_have
Dating App,yearly,4825.36,0.028,1,7,0,89.4,few_times_month,always_notice,essential
Newspaper,yearly,3828.64,0.969,3,9,1,20.3,once_twice_week,always_notice,nice_to_have
Cloud Storage,yearly,2114.75,0.902,10,6,0,17.9,few_times_week,sometimes_notice,nice_to_have
YouTube Premium,monthly,3015.42,0.853,10,8,0,19.9,cant_remember,always_notice,nice_to_have
Spotify,monthly,2436.31,0.051,3,1,0,87.1,once_twice_week,forget,fun
Disney+,monthly,739.59,0.797,4,2,0,33.6,daily,always_notice,essential
Cloud Storage,monthly,2193.82,0.085,5,10,0,74.1,once_twice_week,forget,essential
Educational Hub,yearly,4558.88,0.424,6,3,1,48.3,few_times_month,sometimes_notice,nice_to_have
Educational Hub,monthly,3247.47,0.457,6,1,0,59.3,once_twice_week,sometimes_notice,fun
Newspaper,monthly,1810.5,0.24,5,9,1,52.7,cant_remember,forget,nice_to_have
Dating App,monthly,4170.97,0.803,10,4,1,21.8,once_twice_week,sometimes_notice,nice_to_have
LinkedIn Premium,yearly,3535.85,0.194,8,4,1,59.0,rarely,forget,essential
Amazon Prime,monthly,4542.23,0.318,6,7,0,62.7,daily,sometimes_notice,essential
Newspaper,monthly,3714.34,0.344,5,3,1,52.1,daily,sometimes_notice,essential
Zomato Gold,monthly,1960.32,0.225,7,3,1,53.0,once_twice_week,sometimes_notice,essential
Zomato Gold,monthly,4486.59,0.316,4,8,0,63.7,daily,forget,nice_to_have
Educational Hub,monthly,4537.57,0.222,2,2,0,81.7,few_times_month,always_notice,fun
Newspaper,monthly,3385.91,0.974,2,9,0,26.5,daily,always_notice,essential
Gym Membership,monthly,107.14,0.954,6,6,0,15.9,few_times_month,always_notice,fun
Netflix,monthly,4654.72,0.632,9,7,1,29.3,rarely,forget,fun
Wine Club,yearly,1363.38,0.226,2,10,0,69.8,few_times_week,always_notice,fun
Zomato Gold,yearly,4790.32,0.877,2,1,1,33.2,few_times_week,sometimes_notice,nice_to_have
Educational Hub,monthly,1758.21,0.591,9,2,0,40.5,cant_remember,sometimes_notice,essential
Dating App,yearly,4054.28,0.916,2,5,1,29.7,rarely,forget,fun
Spotify,yearly,2896.51,0.738,8,6,0,36.3,few_times_month,always_notice,nice_to_have
Newspaper,monthly,366.11,0.662,6,9,1,23.6,cant_remember,always_notice,nice_to_have
Zomato Gold,monthly,1768.62,0.562,3,5,1,39.4,cant_remember,forget,essential
Spotify,yearly,1389.13,0.084,6,7,0,71.6,few_times_week,always_notice,essential
Software License,monthly,2016.11,0.911,6,3,1,20.4,few_times_month,always_notice,fun
Netflix,monthly,233.58,0.489,3,7,0,45.0,rarely,sometimes_notice,fun
LinkedIn Premium,monthly,1484.77,0.004,7,9,0,72.1,daily,sometimes_notice,fun
Dating App,yearly,4745.44,0.364,4,5,0,66.2,rarely,always_notice,essential
Adobe CC,yearly,1062.81,0.348,9,8,1,38.2,rarely,forget,fun
Netflix,monthly,3712.95,0.432,3,6,0,60.4,few_times_month,forget,essential
Dating App,monthly,708.93,0.983,3,8,0,20.1,rarely,always_notice,fun
Educational Hub,monthly,4871.7,0.896,4,3,0,33.4,few_times_week,forget,fun
Gym Membership,yearly,274.36,0.291,10,4,0,46.7,daily,forget,nice_to_have
Wine Club,monthly,1042.29,0.081,9,5,1,51.1,daily,forget,fun
Wine Club,yearly,3974.28,0.125,4,6,1,62.8,few_times_month,sometimes_notice,essential
Wine Club,monthly,4611.84,0.713,10,4,0,32.5,rarely,forget,fun
Gym Membership,monthly,2667.51,0.433,1,10,0,60.5,daily,forget,essential
Netflix,monthly,1990.08,0.702,5,10,0,34.1,cant_remember,forget,nice_to_have
Gym Membership,yearly,1753.66,0.655,1,9,0,41.7,rarely,always_notice,essential
Netflix,monthly,1765.47,0.578,2,7,0,49.7,few_times_month,always_notice,fun
Software License,yearly,815.44,0.556,6,7,0,40.4,rarely,forget,essential
YouTube Premium,yearly,166.65,0.538,3,10,1,34.8,daily,sometimes_notice,essential
Gym Membership,monthly,4396.22,0.811,2,1,1,37.7,rarely,always_notice,fun
Educational Hub,yearly,4877.32,0.333,8,8,0,57.5,few_times_month,always_notice,fun
Newspaper,yearly,4221.89,0.574,7,4,0,47.4,rarely,sometimes_notice,nice_to_have
Cloud Storage,monthly,702.22,0.236,1,4,0,72.1,rarely,forget,fun
LinkedIn Premium,monthly,340.35,0.393,10,7,0,39.1,few_times_month,sometimes_notice,fun
Gaming Pass,yearly,180.77,0.922,4,7,0,19.7,daily,forget,essential
Gaming Pass,yearly,3738.62,0.504,10,2,1,37.5,daily,sometimes_notice,essential
Adobe CC,monthly,4819.63,0.744,2,3,0,40.0,once_twice_week,sometimes_notice,fun
Educational Hub,monthly,492.41,0.472,4,9,1,37.1,cant_remember,always_notice,essential
Educational Hub,yearly,3198.68,0.992,4,4,0,28.4,rarely,forget,fun
Wine Club,monthly,1766.2,0.756,9,1,0,29.9,once_twice_week,always_notice,fun
Gaming Pass,monthly,1115.43,0.961,10,9,1,8.0,few_times_week,sometimes_notice,fun
Cloud Storage,yearly,2396.56,0.552,7,2,1,38.3,cant_remember,forget,fun
Cloud Storage,monthly,2003.7,0.959,9,3,1,13.1,few_times_month,sometimes_notice,fun
Disney+,yearly,2916.49,0.973,1,6,0,33.9,few_times_week,always_notice,nice_to_have
Netflix,monthly,803.34,0.903,10,4,1,9.0,daily,always_notice,essential
Spotify,monthly,2329.48,0.919,10,10,0,15.1,few_times_week,forget,fun
Netflix,monthly,1370.57,0.03,10,9,0,61.4,once_twice_week,always_notice,nice_to_have
Gaming Pass,monthly,4142.1,0.804,4,10,0,35.1,once_twice_week,sometimes_notice,nice_to_have
Educational Hub,monthly,4458.62,0.596,8,1,1,37.2,few_times_month,sometimes_notice,nice_to_have
Gaming Pass,monthly,398.14,0.792,8,9,0,16.6,few_times_week,sometimes_notice,essential
Spotify,yearly,3538.4,0.974,1,10,1,22.4,once_twice_week,sometimes_notice,nice_to_have
Newspaper,yearly,3557.24,0.987,1,10,1,22.9,few_times_week,forget,nice_to_have
Gaming Pass,yearly,2730.99,0.999,8,5,0,18.5,once_twice_week,always_notice,fun
Wine Club,monthly,2881.01,0.886,9,9,0,19.2,cant_remember,always_notice,fun
Netflix,yearly,736.19,0.356,1,7,1,51.0,once_twice_week,sometimes_notice,essential
YouTube Premium,yearly,2248.24,0.884,1,7,0,35.0,cant_remember,sometimes_notice,nice_to_have
Netflix,yearly,284.0,0.475,6,3,0,46.6,few_times_week,always_notice,nice_to_have
Amazon Prime,yearly,887.48,0.3,3,5,0,65.2,once_twice_week,forget,nice_to_have
LinkedIn Premium,monthly,2752.04,0.334,2,5,0,72.7,cant_remember,sometimes_notice,essential
YouTube Premium,yearly,589.34,0.18,8,8,0,59.4,rarely,always_notice,fun
Dating App,monthly,1061.1,0.748,1,5,0,40.0,once_twice_week,sometimes_notice,nice_to_have
Gaming Pass,yearly,931.29,0.667,10,3,0,29.2,few_times_month,sometimes_notice,fun
Gaming Pass,monthly,1438.33,0.32,6,1,1,52.1,daily,sometimes_notice,essential
Amazon Prime,yearly,519.93,0.208,7,9,1,42.9,once_twice_week,forget,nice_to_have
Gym Membership,monthly,2506.5,0.47,10,3,0,47.9,daily,sometimes_notice,essential
Gym Membership,monthly,3397.34,0.34,1,7,0,70.5,few_times_week,always_notice,fun
Dating App,yearly,2974.92,0.043,1,9,0,85.4,cant_remember,forget,fun
Spotify,monthly,222.86,0.097,3,4,0,72.3,cant_remember,sometimes_notice,fun
Software License,yearly,1641.94,0.279,4,2,0,68.5,daily,sometimes_notice,fun
Spotify,yearly,2441.04,0.663,4,6,0,40.9,cant_remember,forget,nice_to_have
Amazon Prime,monthly,1790.62,0.29,3,10,0,62.2,daily,sometimes_notice,nice_to_have
Amazon Prime,monthly,1267.83,0.895,6,9,0,20.3,once_twice_week,sometimes_notice,nice_to_have
Spotify,monthly,3150.16,0.483,1,4,0,65.0,cant_remember,forget,essential
Gym Membership,monthly,630.6,0.679,2,5,0,40.1,few_times_week,always_notice,nice_to_have
Gym Membership,yearly,1018.91,0.396,9,9,0,39.3,daily,sometimes_notice,fun
LinkedIn Premium,yearly,4645.06,0.736,8,6,0,34.3,once_twice_week,forget,fun
LinkedIn Premium,monthly,1691.1,0.602,9,8,0,30.7,few_times_month,forget,fun
Wine Club,yearly,4965.87,0.279,4,7,1,53.5,once_twice_week,sometimes_notice,fun
Cloud Storage,yearly,2960.8,0.629,5,5,1,37.0,cant_remember,sometimes_notice,nice_to_have
YouTube Premium,monthly,2172.31,0.646,4,1,1,38.4,cant_remember,always_notice,essential
Gaming Pass,yearly,2682.61,0.572,5,10,0,46.9,few_times_month,sometimes_notice,fun
Spotify,monthly,4319.56,0.358,10,3,1,44.4,daily,forget,essential
LinkedIn Premium,yearly,1730.94,0.934,1,1,0,39.1,few_times_month,always_notice,fun
Spotify,yearly,1291.42,0.563,4,4,1,37.7,rarely,always_notice,essential
Newspaper,yearly,1744.0,0.873,2,3,1,28.1,once_twice_week,forget,essential
LinkedIn Premium,monthly,3771.6,0.409,1,1,0,71.7,few_times_month,always_notice,essential
Newspaper,monthly,3661.98,0.338,1,3,0,74.6,few_times_week,sometimes_notice,nice_to_have
Netflix,monthly,483.87,0.966,8,8,1,6.7,once_twice_week,sometimes_notice,fun
Zomato Gold,monthly,4031.79,0.407,4,8,0,61.5,once_twice_week,always_notice,fun
LinkedIn Premium,monthly,1108.56,0.592,10,2,0,35.4,few_times_month,sometimes_notice,essential
Netflix,monthly,562.8,0.545,9,2,0,39.8,few_times_week,always_notice,fun
Wine Club,yearly,382.13,0.6,5,1,1,34.3,few_times_month,forget,essential
Cloud Storage,monthly,4849.41,0.293,8,8,0,58.7,rarely,sometimes_notice,nice_to_have
Educational Hub,monthly,1353.53,0.633,2,2,0,39.4,few_times_week,forget,fun
Spotify,yearly,2369.15,0.157,1,9,1,63.2,once_twice_week,forget,essential
Gaming Pass,monthly,1298.04,0.978,4,8,0,20.6,daily,sometimes_notice,nice_to_have
YouTube Premium,monthly,3182.45,0.274,1,6,0,75.4,few_times_month,forget,essential
Amazon Prime,monthly,4945.49,0.232,4,9,0,68.8,daily,always_notice,essential
Adobe CC,yearly,580.28,0.871,3,10,0,21.8,once_twice_week,forget,essential
YouTube Premium,monthly,3957.08,0.024,6,8,0,77.0,daily,forget,essential
Cloud Storage,monthly,3765.02,0.095,5,6,1,64.1,cant_remember,sometimes_notice,nice_to_have
Cloud Storage,yearly,3607.54,0.657,2,8,1,40.1,cant_remember,always_notice,fun
Gaming Pass,monthly,3392.21,0.364,7,8,1,42.8,few_times_month,always_notice,nice_to_have
Disney+,yearly,914.98,0.238,8,7,1,43.0,few_times_week,forget,nice_to_have
Gaming Pass,monthly,4136.32,0.177,1,9,0,80.9,cant_remember,sometimes_notice,essential
Educational Hub,yearly,2831.51,0.664,4,1,0,43.4,daily,always_notice,fun
Netflix,monthly,3600.59,0.799,2,6,0,39.2,rarely,forget,nice_to_have
Wine Club,monthly,3151.8,0.283,8,8,0,58.4,daily,forget,nice_to_have
Software License,yearly,405.09,0.069,1,8,0,77.3,few_times_month,always_notice,essential
Newspaper,monthly,1718.72,0.73,9,1,0,36.0,few_times_week,forget,fun
Software License,monthly,3679.93,0.161,10,3,0,67.3,once_twice_week,always_notice,nice_to_have
Newspaper,yearly,3116.2,0.615,2,2,0,39.5,cant_remember,sometimes_notice,fun
Newspaper,monthly,362.86,0.035,3,4,1,62.7,once_twice_week,sometimes_notice,nice_to_have
Amazon Prime,yearly,4928.47,0.258,5,5,0,69.8,daily,always_notice,nice_to_have
YouTube Premium,monthly,2506.15,0.683,3,3,1,38.7,few_times_month,sometimes_notice,fun
YouTube Premium,yearly,2952.78,0.864,10,4,0,24.7,rarely,sometimes_notice,fun
Educational Hub,yearly,1240.63,0.59,6,2,0,44.3,few_times_month,sometimes_notice,nice_to_have
YouTube Premium,monthly,435.42,0.457,1,9,0,56.7,daily,sometimes_notice,nice_to_have
Amazon Prime,monthly,4299.33,0.879,8,4,0,27.3,rarely,forget,fun
YouTube Premium,yearly,169.99,0.851,1,6,0,31.8,few_times_month,forget,essential
Educational Hub,monthly,4046.01,0.961,1,10,0,30.4,once_twice_week,forget,fun
Software License,yearly,1650.87,0.63,6,5,0,41.7,cant_remember,always_notice,fun
Amazon Prime,yearly,1723.46,0.779,6,6,1,24.1,daily,forget,fun
Disney+,monthly,372.97,0.389,2,10,1,44.0,few_times_week,always_notice,nice_to_have
LinkedIn Premium,yearly,437.48,0.688,9,1,0,32.4,once_twice_week,sometimes_notice,fun
Wine Club,monthly,1492.1,0.841,2,7,0,36.5,few_times_week,forget,essential
Newspaper,monthly,1604.82,0.379,9,6,0,48.5,once_twice_week,always_notice,essential
Newspaper,yearly,2847.76,0.174,4,7,1,59.8,few_times_month,sometimes_notice,essential
Amazon Prime,monthly,2559.25,0.286,8,2,1,49.6,few_times_month,forget,essential
Wine Club,monthly,561.56,0.67,2,1,1,38.1,once_twice_week,always_notice,nice_to_have
Newspaper,yearly,1509.95,0.286,3,10,0,63.0,few_times_week,forget,essential
Netflix,yearly,881.26,0.425,4,4,0,56.3,daily,always_notice,essential
Software License,yearly,1184.01,0.731,5,5,0,32.7,few_times_month,sometimes_notice,nice_to_have
Gaming Pass,monthly,3465.14,0.662,4,9,0,41.3,daily,forget,nice_to_have
Gym Membership,yearly,1787.2,0.532,4,7,1,38.5,cant_remember,sometimes_notice,nice_to_have
Disney+,yearly,1968.81,0.56,10,5,1,30.4,few_times_week,always_notice,fun
Educational Hub,yearly,3945.78,0.346,4,1,1,55.0,few_times_week,sometimes_notice,nice_to_have
Software License,monthly,1075.72,0.737,7,9,0,22.2,rarely,sometimes_notice,essential
Newspaper,yearly,4232.08,0.878,8,10,0,22.4,daily,always_notice,fun
Spotify,yearly,2798.06,0.902,7,3,0,27.5,daily,forget,nice_to_have
Gym Membership,monthly,4877.96,0.095,1,4,0,85.6,few_times_week,sometimes_notice,nice_to_have
Disney+,monthly,819.88,0.741,7,6,0,30.3,rarely,sometimes_notice,fun
LinkedIn Premium,yearly,2469.67,0.941,3,1,0,37.2,cant_remember,always_notice,essential
LinkedIn Premium,monthly,113.83,0.075,5,3,0,72.6,few_times_week,always_notice,fun
LinkedIn Premium,monthly,550.79,0.516,6,10,0,38.6,daily,sometimes_notice,nice_to_have
YouTube Premium,yearly,4530.17,0.974,8,6,0,18.3,daily,sometimes_notice,nice_to_have
Amazon Prime,monthly,2904.91,0.436,9,9,0,46.6,few_times_week,always_notice,essential
Adobe CC,yearly,1728.9,0.028,1,7,1,70.1,few_times_week,always_notice,essential
Newspaper,yearly,4410.37,0.476,2,7,0,62.0,cant_remember,sometimes_notice,fun
Wine Club,yearly,3329.34,0.171,7,4,0,70.9,rarely,forget,essential
Wine Club,yearly,2610.81,0.542,5,2,1,43.0,daily,forget,nice_to_have
Gym Membership,monthly,2934.2,0.146,7,5,0,74.8,once_twice_week,forget,nice_to_have
Disney+,monthly,165.67,0.557,9,1,1,30.5,rarely,forget,fun
Dating App,yearly,898.59,0.058,3,3,1,64.7,daily,always_notice,fun
Spotify,monthly,1451.22,0.947,10,8,1,8.0,cant_remember,sometimes_notice,fun
LinkedIn Premium,monthly,2231.15,0.933,4,8,0,24.9,cant_remember,always_notice,nice_to_have
Wine Club,yearly,3756.5,0.201,7,4,0,71.9,few_times_week,sometimes_notice,nice_to_have
Educational Hub,monthly,694.07,0.353,6,5,0,51.5,few_times_month,always_notice,fun
Spotify,yearly,4901.87,0.738,10,5,0,33.3,few_times_week,sometimes_notice,essential
Dating App,monthly,2411.19,0.856,7,1,0,34.0,daily,always_notice,essential
Cloud Storage,yearly,2788.55,0.933,3,9,0,27.2,cant_remember,sometimes_notice,nice_to_have
Cloud Storage,monthly,945.75,0.389,9,2,0,47.8,rarely,always_notice,fun
Zomato Gold,monthly,612.0,0.91,7,4,0,18.3,daily,always_notice,essential
YouTube Premium,monthly,3669.75,0.162,3,9,0,76.6,daily,sometimes_notice,fun
Disney+,yearly,2139.62,0.264,8,2,0,64.4,rarely,sometimes_notice,essential
Cloud Storage,monthly,238.4,0.465,5,7,1,37.9,few_times_week,always_notice,nice_to_have
Gaming Pass,yearly,3304.87,0.849,6,4,1,24.8,rarely,forget,fun
Gaming Pass,yearly,4263.65,0.757,3,4,0,40.3,daily,forget,nice_to_have
Software License,monthly,3081.92,0.924,7,1,0,28.6,cant_remember,forget,essential
Gym Membership,monthly,1697.03,0.256,2,3,1,58.2,cant_remember,forget,fun
Wine Club,monthly,4791.98,0.345,2,8,0,65.9,few_times_week,always_notice,nice_to_have
Adobe CC,monthly,3929.29,0.477,4,10,0,51.4,rarely,forget,fun
Cloud Storage,monthly,2031.04,0.084,5,9,0,73.6,few_times_week,always_notice,fun
LinkedIn Premium,yearly,121.91,0.298,5,3,0,62.5,daily,always_notice,essential
Zomato Gold,monthly,3062.99,0.401,10,10,1,37.3,once_twice_week,sometimes_notice,nice_to_have
Educational Hub,yearly,1472.03,0.925,10,7,0,11.6,few_times_month,forget,essential
Newspaper,monthly,3041.91,0.246,9,5,0,61.9,cant_remember,forget,fun
Amazon Prime,yearly,4475.93,0.554,8,8,1,34.3,once_twice_week,always_notice,nice_to_have
Zomato Gold,yearly,3111.9,0.137,1,4,1,70.2,few_times_week,sometimes_notice,essential
Adobe CC,yearly,1759.19,0.345,3,10,1,46.7,few_times_month,forget,essential
Gym Membership,yearly,2390.84,0.665,6,1,0,39.9,cant_remember,always_notice,fun
Zomato Gold,monthly,4665.54,0.946,4,10,1,18.9,few_times_month,always_notice,essential
Spotify,monthly,4478.37,0.491,3,3,0,61.4,once_twice_week,forget,nice_to_have
